"","SrcID_Feat","unit","mean_dist"
"594",1623,76,1000
"595",2878,76,880.531066894538
"596",3010,76,858.65386047355
"597",3173,76,891.031477186389
"598",3185,76,540.521966231491
"599",3381,76,638.679910513047
"600",18,77,865.218721829923
"601",19,77,977.782552083333
"602",20,77,856.735819498667
"603",1438,77,935.179504394667
"604",1647,77,714.632989501867
"605",1664,77,919.287325772273
"606",1782,77,630.756644354889
"607",1783,77,398.280703590048
"608",1784,77,517.431302609652
"609",1785,77,924.780877007333
"610",1786,77,966.7845458985
"611",1787,77,907.648609508182
"612",1972,77,592.27945068356
"613",2062,77,891.0395629882
"614",3578,77,438.442490895611
"615",3620,77,792.022276635196
"616",3968,77,1000
"617",4872,77,992.4429016115
"618",1538,78,629.358403523736
"619",1595,78,942.7366455078
"620",2399,78,901.499160766625
"621",2401,78,673.744755964981
"622",3746,78,796.118723551368
"623",4118,78,788.237545615737
"624",4135,78,542.535739717024
"625",1549,79,773.482478684585
"626",1554,79,804.331044164138
"627",2399,79,535.498826012246
"628",2401,79,775.88950620375
"629",3746,79,547.399394759229
"630",4135,79,792.800194991158
"631",1536,80,906.287384033167
"632",1538,80,559.167536899948
"633",1595,80,829.352800157333
"634",2031,80,780.828974498345
"635",4118,80,853.12043212888
"636",4135,80,589.11727345138
"637",1535,81,984.885803223
"638",1536,81,815.231606942593
"639",1538,81,578.314982206913
"640",1595,81,831.522869403462
"641",2031,81,647.297367839039
"642",4118,81,860.370165373105
"643",4135,81,578.003492900304
"644",4855,81,955.4513183592
"645",1538,82,889.382353130105
"646",1549,82,901.04612792964
"647",1554,82,969.24180603025
"648",1595,82,989.949523926
"649",2399,82,635.230681774667
"650",2401,82,639.196757210569
"651",3556,82,976.094645182333
"652",3746,82,595.888857340052
"653",4118,82,866.1933349608
"654",4135,82,614.645379638675
"655",1535,83,913.152478899286
"656",1536,83,689.974548934299
"657",1538,83,694.614101228238
"658",1595,83,970.634663899667
"659",2031,83,512.226944112346
"660",3576,83,895.6005096435
"661",4118,83,855.40875244125
"662",4135,83,757.314369895182
"663",4855,83,832.18449664931
"664",1549,84,660.087366834963
"665",1554,84,653.229425659147
"666",2399,84,683.164286574233
"667",2401,84,940.294300426182
"668",3746,84,637.662068684863
"669",1538,85,637.458628151609
"670",1595,85,982.07098388675
"671",2031,85,914.590247521077
"672",2401,85,918.560248480778
"673",3746,85,975.3934448242
"674",4118,85,815.156149291914
"675",4135,85,530.313252287094
"676",637,86,907.743824351909
"677",3071,86,977.856363932333
"678",3669,86,657.950800577667
"679",3827,86,723.409307409111
"680",4863,86,908.413470459
"681",4864,86,746.829391891865
"682",4865,86,768.665242296511
"683",4876,86,388.669857522761
"684",4877,86,513.001632027014
"685",4878,86,820.669055645192
"686",4901,86,814.303815569171
"687",84,87,821.191056993278
"688",311,87,527.788482860382
"689",1599,87,882.042801395516
"690",2380,87,1000
"691",2400,87,762.168046108465
"692",2503,87,867.6058858235
"693",637,88,557.865726161662
"694",4878,88,818.52333432146
"695",4879,88,869.1368591308
"696",4880,88,768.189695994
"697",4898,88,561.504217772336
"698",4899,88,879.923939580478
"699",1848,89,728.08544367
"700",1985,89,765.467072952581
"701",1986,89,895.874511718667
"702",1987,89,992.4429016115
"703",2007,89,524.630032775215
"704",3538,89,836.911472486348
"705",3826,89,892.960207182759
"706",3848,89,365.032127380444
"707",1848,90,881.5231445312
